	id_tweet	created_at	user_name	text	clean	cluster
70393	1072865407155879937	2018-12-12 09:47:00	SectorMovilidad	@LuciaMontero Hola Lucia, nos reportan un incidente vial a la altura de la calle 45. Feliz día	   hola lucio   reportar incidente vial a altura callar      feliz	1
72210	1073374529286754310	2018-12-13 19:30:04	Sneyder9107	De nuevo #transmilenio bloqueado a la altura de la estación Banderas sentido oriente - occidente. Gracias al alcalde improvisador por sus medidas inoportunas en estas época...	  transmilenio bloquear a altura estación bandera sentir orientar    occidente   gracia alcalde improvisador medir inoportuno época   	1
44850	1062896025600430083	2018-11-14 21:32:14	dabernalsa	Buenas tardes. Estas son las vías que se espera sean las más afectadas en las marchas convocadas para mañana:* Carrera 10 en sentido norte – sur.* Carrera 7 en sentido norte – sur.* Carrera 30 en sentido sur – norte.* Avenida Caracas en sentidos norte – sur.	tarde   vía esperar afectar marchar convocar mañana    carrera     sentir norte    sur    carrera    sentir norte    sur    carrera     sentir sur    norte    avenir caracas sentir norte    sur	1
1167	1047186800333258753	2018-10-02 13:09:23	florangelah	💥  Incidente vial entre particular 🚘 y 2 taxis 🚖 en la carrera  7 con calle 26, sentido sur - norte. https://t.co/EuwoSmLt5D	    incidente vial particular    y    taxi    carrera     callar      sentir sur    norte   	1
77748	1075805741045440513	2018-12-20 12:30:50	idubogota	Trabajamos en las noches para reparar las vías. En la Av. Calle 80 desde la Carrera 85ª hasta la Transversal 88c rehabilitamos la calzada de @TransMilenio en el sentido oriente occidente. https://t.co/oTQzk6OaDZ	noche reparar vía   av   callar     carrera      transversal    c rehabilitar calzar    sentir orientar occidente   	1
26930	1057784818463846406	2018-10-31 19:02:08	jogureto	Igual si vas por la carrera 30 sentido norte sur, desde no se donde, hay represamiento o trancon de articulados, estoy frente a @CalimaBogotaCC  Y el.G22 lleva quieto 20 minutos detrás se muuuuuuchos articulados @periodispublico @PublimetroCol https://t.co/10MKVnxGXw	ir carrera     sentir norte sur     represamiento o trancon articular   frente a     y gramo    quieto     minuto muuuuuuchos articular      	1
53036	1065232252664205312	2018-11-21 08:15:34	lafm	📚✏️ #MarchaEstudiantil La marcha va por la Carrera 30 con Avenida Américas y hay un #Transmilenio varado, esto complica la movilidad por la Troncal NQS sentido sur norte. https://t.co/3pHtxKITGc    #MePasoALaFM https://t.co/6UxKYRnTTO	      marchar estudiantil marchar carrera     avenir américas y   transmilenio varar   complicar movilidad troncal nqs sentir sur norte         pasoa lafm  	1
11219	1050701353826291712	2018-10-12 05:54:58	lafm	🔴⚠️#LoÚltimo Dos personas heridas luego de choque entre un camión recolector de basuras y un taxi en la Carrera 10 con Calle 27 sur https://t.co/gycWur0A4b #MePasoALaFM https://t.co/DAkG3UZig9	     loúltimo personar herir chocar camión recolector basura y taxi carrera     callar     sur     pasoa lafm  	1
82054	1078451180836143106	2018-12-27 19:42:52	manolitosalazar	Reportan choque múltiple con lesionados en la Av Cali con Calle 40 Sur, sentido norte-sur. Hay invasión del carril troncal por parte de vehículos que deben ir por el mixto.En el hecho están involucrados un bus zonal que se desplazaba con grúa y un motociclista.	reportar chocar múltiple lesionar av cali callar     sur   sentir norte sur   invasión carril troncal vehículo mixto involucrar bus zonal desplazar grúa y motociclista	1
74608	1074100589288665088	2018-12-15 19:35:10	natorunner	@SectorMovilidad ......además del tráfico de sábado, un camión de star box parado haciendo promoción en la carrera 14 con calle 81.... que tal esto https://t.co/eAW5iPBaUO	         tráfico sábado   camión star box parar promoción carrera     callar          	1
5324	1049395406323556352	2018-10-08 15:25:36	optika	Ruta z7, bus z10-4124 , sentido norte sur por la 127 en este momento, conduce a alta velocidad y no para a recoger a los pasajeros! Tomar correctivos , el tipo parece loco al volante @TransMilenio @transmisitp @utransmilenio @transmisitp @SITPAyuda @sitpbogota @USITPOficial	ruta z    bus z           sentir norte sur        conducir a alto velocidad y a recoger a pasajero   tomar correctivo    tipo loco volante              	1
11308	1050724915425566720	2018-10-12 07:28:36	rcnradio	#RCNRadio | En Bogotá dos personas heridas tras choque entre un carro recolector de basuras y un taxi en la calle 27 sur con carrera 10, la estación de Transmilenio Country Sur fue cerradahttps://t.co/lX8lIfXtNd https://t.co/7RCg3W3QuF	  rcn radiar    bogotá personar herir chocar carro recolector basura y taxi callar     sur carrera      estación transmilenio country sur    	1
76645	1075181929874436097	2018-12-18 19:12:02	retioBOG	Gracias sres. del por los huecos que se han tapado en la calle 13 sentido oriente - occidente. —@andreshrr_186 https://t.co/xY5GMhKXoo	gracia sres   hueco tapar callar     sentir orientar    occidente          	1
